page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
laptop88,Lenovo ThinkBook 16 G6 IRL ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-16-g6-irl-intel-core-i3-1315u-16-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_9133.jpg,11590000,0,1,CPU Intel Core i3-1315U,Intel,8GB,DDR5,512,B,Intel UHD Graphics,Intel,16,FHD
laptop88,Lenovo Legion 5 15IRX9 83JJ000FVN ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-legion-5-15irx9-83jj000fvn-intel-core-i7-13650hx-24gb-rtx-4060-15.6-inch-full-hd-100-srgb-144hz.html,https://laptop88.vn/media/product/pro_poster_9132.jpg,33590000,0,1,CPU Intel Core i7-13650HX,Intel,24GB,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,NVIDIA,15.6,FHD
laptop88,Dell Inspiron 16 5630-PX2MM ,Dell,https://laptop88.vn/new-outlet-laptop-dell-inspiron-16-5630-px2mm-intel-core-i7-1360p-16gb-ssd-1tb-16-inch-full-hd-touch.html,https://laptop88.vn/media/product/250_9127_8072_picture_1684565196.png,,0,1,CPU Intel Core i7-1360P,Intel,16GB,DDR5,SSD,1TB,Intel Iris Xe Graphics,Intel,16,FHD
laptop88,ASUS ROG Strix G16 G614JV-N4156W ,ASUS,https://laptop88.vn/new-100-laptop-asus-rog-strix-g16-g614jv-n4156w-intel-core-i7-13650hx-16gb-rtx-4060-16-inch-2k-240hz-100-dci-p3.html,https://laptop88.vn/media/product/250_9124_03_g_16_l_2_1_1_1_1.png,37490000,0,1,CPU Intel Core i7-13650HX,Intel,16GB,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,NVIDIA,16,2.5K
laptop88,Acer Nitro 5 AN515-58-75NM ,Acer,https://laptop88.vn/new-outlet-laptop-acer-nitro-5-an515-58-75nm-intel-core-i7-12650h-16gb-ssd-1tb-rtx-4050-15.6-inch-full-hd-144hz.html,https://laptop88.vn/media/product/pro_poster_9121.jpg,20990000,0,1,CPU Intel Core i7-12650H,Intel,16GB,DDR5,SSD,1TB,NVIDIA GeForce RTX 4050 6GB GDDR6,NVIDIA,15.6,FHD
laptop88,HP Envy x360 2 in 1 14-es1023dx 9R8R3UA ,HP,https://laptop88.vn/new-100-hp-envy-x360-2-in-1-14-es1023dx-9r8r3ua-intel-core-7-150u-16gb-ssd-512gb-14-inch-full-hd-touch.html,https://laptop88.vn/media/product/pro_poster_9120.jpg,17990000,0,1,CPU Intel Core 7 -150U,Intel,16GB,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,14,FHD
laptop88,Lenovo V14 G4 IRU 83A0000GVN ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-v14-g4-iru-83a0000gvn-intel-core-i3-1315u-14-inch-full-hd.html,https://laptop88.vn/media/product/250_9117_52434_laptop_lenovo_v14_g4_iru_83a0000gvn_2.jpg,8990000,0,1,CPU Intel Core i3 1315U,Intel,8GB,DDR4,SSD,256GB,Intel UHD Graphics,Intel,14,FHD
laptop88,Lenovo ThinkBook 14 G4 IAP 21DH00BBVN ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-14-g4-iap-21dh00bbvn-intel-core-i5-1240p-16gb-14-inch-full-hd.html,https://laptop88.vn/media/product/250_9116_51060_lenovo_thinkbook_14_g4_iap_21dha_intel_grey_a9.jpg,13990000,0,1,CPU Intel Core i5-1240P,Intel,16GB,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,,FHD
laptop88,Lenovo ThinkBook 14 G4 IAP 21DHA0W9VN ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-14-g4-iap-21dha0w9vn-intel-core-i5-1235u-14-inch-full-hd-noos.html,https://laptop88.vn/media/product/250_9115_51060_lenovo_thinkbook_14_g4_iap_21dha_intel_grey_a9.jpg,12990000,0,1,CPU Intel Core i5-1235U,Intel,8GB,DDR4,SSD,512GB,Intel UHD Graphics,Intel,14,FHD
laptop88,Lenovo V15 G4 IRU 83A1000RVN ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-v15-g4-iru-83a1000rvn-intel-core-i5-1335u-15.6-inch-full-hd.html,https://laptop88.vn/media/product/250_9114_47257_lenovo_v15_g4_iru.jpg,12990000,0,1,CPU Intel Core i5-1335U,Intel,8GB,DDR4-3200,512,B,Intel Iris Xe / UHD Graphics,Intel,15.6,FHD
laptop88,MSI Modern 14 H D13MG 217VN ,MSI,https://laptop88.vn/new-100-laptop-msi-modern-14-h-d13mg-217vn-intel-core-i7-13700h-16gb-1tb.html,https://laptop88.vn/media/product/250_9113_82838_file_pts_chu___n_l____0003_laptop_msi_modern_14_h__1___1_.png,17990000,0,1,CPU Intel Core i7-13700H,Intel,16GB,3200,SSD,1TB,Card Intel Iris Xe Graphics,Card,14,FHD
laptop88,MSI Modern 15 H C13M 216VN ,MSI,https://laptop88.vn/new-100-laptop-msi-modern-15-h-c13m-216vn-intel-core-i7-13700h-16gb-1tb.html,https://laptop88.vn/media/product/250_9112_82838_file_pts_chu___n_l____0003_laptop_msi_modern_14_h__1_.png,16990000,0,1,CPU Intel Core i7-13700H,Intel,16GB,DDR4,SSD,1TB,Card Intel Iris Xe Graphics,Card,15.6,FHD
