brand,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Dell,32790000.0,0,1,Intel Core Ultra 7 165U vPro,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,13.3,HD
Dell,26990000.0,0,1,Intel Core Ultra 5 125U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,14.0,HD
HP,45990000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,2TB,Intel Arc Graphics,Intel,14.0,8K
Asus,29490000.0,0,1,Intel Core Ultra 5 226V 16GB,Intel,16.0,DDR5,SSD,1TB,Intel Arc A-Series 130V,Intel,14.0,
HP,28990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,16.0,IPS
Lenovo,26990000.0,0,1,Intel Core i712700H,Intel,16.0,DDR5,SSD,512GB,NVIDIA GeForce RTX 3050,Nvidia,14.5,IPS
Lenovo,40490000.0,0,1,Intel Core Ultra 5 125H,Intel,32.0,DDR5,SSD,1TB,NVIDIA RTX 500 Ada,Apple,14.5,IPS
HP,57990000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,
HP,54990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,
HP,30390000.0,0,1,AMD Ryzen 58640HS,AMD,16.0,DDR5,SSD,1TB,AMD Radeon Graphics,AMD,14.0,8K
HP,33990000.0,0,1,AMD Ryzen 78840HS,AMD,32.0,DDR5,SSD,512GB,AMD Radeon Graphics,AMD,14.0,8K
HP,34990000.0,0,1,AMD Ryzen 78840HS,AMD,32.0,DDR5,SSD,1TB,AMD Radeon Graphics,AMD,14.0,8K
HP,29490000.0,0,1,Intel Core Ultra 5 125U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,14.0,8K
HP,29490000.0,0,1,Intel Core Ultra 5 125U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,14.0,8K
HP,33490000.0,0,1,Intel Core Ultra 7 155U,Intel,16.0,DDR5,SSD,512GB,Intel Graphics,Intel,14.0,8K
Asus,17990000.0,0,1,Intel Core i71255U,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,HD
